fid,סמל ועדה,שם ועדה,סמל ישוב בחירות,שם ישוב בחירות,סמל קלפי,סמל רכוז,כתובת קלפי,מקום קלפי,נגישה,נגישה מיוחדת,בוחרי כנסת בפועל
"208","2",יהודה,"2610",בית שמש,32,"45","דרך רבין יצחק,21 ",מתנס פסגות השבע,כ,כ,"577"
"209","2",יהודה,"2610",בית שמש,33,"40","הגולן,16א",מרכז פיס לחינוך - אולם ספורט,כ,כ,"696"
"210","2",יהודה,"2610",בית שמש,37.1,"33","הגפן,32 ",פרחי הגפן,כ,כ,"365"
"211","2",יהודה,"2610",בית שמש,37.2,"33","הגפן,32 ",פרחי הגפן, , ,"365"
"212","2",יהודה,"2610",בית שמש,38.1,"55","אמרי נועם,1 ",סמינר בית יעקב דרך תבונות, , ,"478"
"213","2",יהודה,"2610",בית שמש,38.2,"55","אמרי נועם,1 ",סמינר בית יעקב דרך תבונות, , ,"478"
"214","2",יהודה,"2610",בית שמש,38.3,"55","אמרי נועם,1 ",סמינר בית יעקב דרך תבונות, , ,"476"
"215","2",יהודה,"2610",בית שמש,41,"45","דרך רבין יצחק,21 ",מתנס פסגות השבע,כ, ,"617"
"216","2",יהודה,"2610",בית שמש,42,"52","הנרקיס,140 ",מרכז קהילתי מבצע משה, , ,"681"
"217","2",יהודה,"2610",בית שמש,47.1,"57","אביי,21 ",בית יעקב רמה ד, , ,"553"
"218","2",יהודה,"2610",בית שמש,47.2,"57","אביי,21 ",בית יעקב רמה ד, , ,"553"
"219","2",יהודה,"2610",בית שמש,47.3,"57","אביי,21 ",בית יעקב רמה ד, , ,"553"
"220","2",יהודה,"2610",בית שמש,47.4,"57","אביי,21 ",בית יעקב רמה ד, , ,"552"
"221","2",יהודה,"2610",בית שמש,50,"42","נחל שורק,13 ",משכנות דעת, , ,"683"
"222","2",יהודה,"2610",בית שמש,64,"42","נחל שורק,13 ",משכנות דעת, , ,"587"
"223","2",יהודה,"2610",בית שמש,69.1,"38","נחל דולב,14 ",אולפנה אהבת ישראל,כ,כ,"697"
"224","2",יהודה,"2610",בית שמש,69.2,"38","נחל דולב,14 ",אולפנה אהבת ישראל,כ, ,"697"
"225","2",יהודה,"2610",בית שמש,69.3,"38","נחל דולב,14 ",אולפנה אהבת ישראל,כ, ,"695"
"226","2",יהודה,"2610",בית שמש,81,"42","נחל שורק,13 ",משכנות דעת, , ,"602"
